INDICE   	NUMABAST    	VEICODIGO	TPREG	BOMBA	REDE 	POSTO	FROTA	C	UVE 	PLACA  	MOTORISTA           	KM     	QTD       	PU       	PUBRAD   	TOTAL         	DATA ABASTECIMENTO  	DATA DEB  	DATA CRED 	ABTARQUIVO     	DIST PERC	COMB TOTAL	S	CD_ABAT_ANTR_VEIC	POSTO FANTASIA    	POSTO CIDADE                            	CGC                 
162568250	151063833   	706708   	1    	1    	622  	19099	35417	U	1002	RCZ8G97	                    	168687 	24,95     	3,350    	3,000    	74,85         	26/07/2022 07:25    	09/08/2022	10/08/2022	InsTransCard   	0        	          	S	                 	POSTO SAO LUIZ 2  	AMELIA RODRIGUES                        	10905163000177      
162568361	151063868   	708715   	1    	2    	882  	19783	35417	S	30  	MMK3I40	                    	382049 	330,20    	1,000    	1,000    	330,20        	26/07/2022 07:25    	09/08/2022	10/08/2022	2G260722.ZZ0730	682      	330,20    	S	151014119        	LARCO - CANDEIAS -	CANDEIAS                                	02805889001262      
162568645	151064050   	724045   	1    	1    	882  	19783	35417	S	256 	FWL8B18	                    	515777 	94,10     	0,100    	0,100    	9,41          	26/07/2022 07:31    	09/08/2022	10/08/2022	2G260722.ZZ0740	5413     	94,10     	N	150488423        	LARCO - CANDEIAS -	CANDEIAS                                	02805889001262      
162569357	151064892   	723052   	1    	2    	882  	19783	35417	S	168 	OUN6A79	                    	696663 	1225,10   	1,000    	1,000    	1225,10       	26/07/2022 07:49    	09/08/2022	10/08/2022	2G260722.ZZ0755	4023     	1225,10   	S	150872341        	LARCO - CANDEIAS -	CANDEIAS                                	02805889001262      
162569581	151065226   	706776   	1    	1    	622  	19099	35417	T	1009	RCO7B63	                    	274366 	540,40    	7,070    	6,750    	3647,70       	26/07/2022 08:15    	09/08/2022	10/08/2022	InsTransCard   	1125     	540,40    	S	150913236        	POSTO SAO LUIZ 2  	AMELIA RODRIGUES                        	10905163000177      
162569601	151065247   	706776   	1    	1    	622  	19099	35417	U	1009	RCO7B63	                    	274366 	22,02     	3,350    	3,000    	66,06         	26/07/2022 08:16    	09/08/2022	10/08/2022	InsTransCard   	0        	          	S	                 	POSTO SAO LUIZ 2  	AMELIA RODRIGUES                        	10905163000177      
162569734	151065292   	724045   	1    	1    	882  	19783	35417	S	256 	FWL8B18	                    	515777 	1021,60   	0,100    	0,100    	102,16        	26/07/2022 08:11    	09/08/2022	10/08/2022	2G260722.ZZ0820	5413     	1115,70   	S	151064050        	LARCO - CANDEIAS -	CANDEIAS                                	02805889001262      
162569922	151065494   	706783   	7    	2    	622  	19783	35417	S	1009	REJ8E98	                    	197835 	1203,00   	1,000    	1,000    	1203,00       	26/07/2022 08:28    	09/08/2022	10/08/2022	2G260722.ZZ0830	10326    	1203,00   	S	150577220        	LARCO - CANDEIAS -	CANDEIAS                                	02805889001262      
162570223	151065800   	706713   	1    	2    	882  	19783	35417	S	41  	RDA7G58	                    	185453 	532,90    	1,000    	1,000    	532,90        	26/07/2022 08:45    	09/08/2022	10/08/2022	2G260722.ZZ0850	3778     	532,90    	S	150901868        	LARCO - CANDEIAS -	CANDEIAS                                	02805889001262      
162570410	151065982   	722778   	7    	1    	882  	19104	35417	S	253 	RDL3G06	                    	6112   	384,26    	7,490    	6,850    	2632,18       	23/07/2022 18:18    	09/08/2022	10/08/2022	RegContingencia	0        	384,26    	S	151027488        	POSTO LARCO OESTE 	SAO DESIDERIO                           	21025463000188      
